,Datetime,Tweet Id,Text,Username
0,2021-07-29 22:09:09+00:00,1420869029452029952,"EDITH LAGOS       1/3

En 1980, con tan solo 18 años de edad, dirigió los ataques terroristas al local de la Municipalidad de Huamanga, la casa del presidente del Jurado Electoral de Ayacucho y el local de EntelPerú.
El 24 de diciembre de 1980 fue detenida por la policía. https://t.co/HJKFi4tSTO",GustavoRojasQ
1,2021-07-29 21:50:29+00:00,1420864330476752906,"@EntelPeru #LovePorElPerú Su historua, paisajes que cada departamento nos da y su gastronomía, no tiene precio. ¡Gracias Perú! 🇵🇪🇵🇪🇵🇪❤️",JackelynCano
2,2021-07-29 20:21:56+00:00,1420842045850144773,"@EntelPeru Gracias Entel, puede ser Cajamarca o San Martín.,.",AmparoTevil
3,2021-07-29 20:06:48+00:00,1420838239259222022,@EntelPeru ES UNA LASTIMA QUE DESPUÉS  DE 200 AÑOS SE DESTRUYA EL PERÚ.,caroli2073
4,2021-07-29 19:57:44+00:00,1420835958061215749,"@EntelPeru Si quieres ser parte de este mercado, no pongas en tu spot a gente abiertamente antifujimoristas como el impresentable Cakash.",rockanddog71
5,2021-07-29 19:41:33+00:00,1420831883076702208,@EntelPeru NO HAY NADA QUE CELEBRAR,caroli2073
6,2021-07-29 19:34:28+00:00,1420830101353029633,@EntelPeru no te deja participar en sus #JuevesEntel si no autorizas el tratamiento de tus datos personales y para que? Para que me llamen 5 veces por día??? NO GRACIAS! https://t.co/VAbVZFWNOP,Yoyi1D
7,2021-07-29 18:55:14+00:00,1420820226304774149,"@EntelPeru Si, pero ese chip está diez soles e inclusive en oficinas me ofrecen uno de 20 soles. 

Pregunto nuevamente ¿dónde encuentro chip de 5 soles?",kokicarrillo33
8,2021-07-29 18:48:00+00:00,1420818408506019840,@EntelPeru Cash un tipo impresentable que se dedica horas de horas a hablar lisuras e insultar a gente que no es de su opinión es parte de su promoción ?  Tan limitados  son en su área de marketing?,EduSouzaDo
9,2021-07-29 18:42:08+00:00,1420816932039712776,@EntelPeru ¿Cuál es el precio de un chip prepago línea nueva?,kokicarrillo33
10,2021-07-29 16:28:10+00:00,1420783215107842055,Hice una pequeña recarga a mi cel prepago @EntelPeru y desde allí me paran llamando todos los días para que me pase a postpago (ya me ha pasado antes). Gracias al cielo existe Truecaller. https://t.co/YdQtS2Fg9x,terramax
11,2021-07-29 16:25:11+00:00,1420782466084790275,"@EntelPeru Si desean regalar su dinero mugen a Entel y pagarán el doble, no les interesa lo que pasamos económicamente por esta Pandemia, Entel lo peor",pacopini666
12,2021-07-29 16:24:13+00:00,1420782221221404676,"@EntelPeru Ya les escribí
Ladrones",pacopini666
